Talasna duzina_Tirkizna [nm]	 Intenzitet svetlosti_Tirkizna [cd]
354.371	113.6399994
354.962	108.8199997
355.552	102.5
356.142	115.0199966
356.732	105.7799988
357.322	108.6200027
357.913	114.0999985
358.503	114.1600037
359.093	108.9199982
359.683	120.3000031
360.273	116.6600037
360.863	124.2399979
361.453	116.4199982
362.042	106.1200027
362.632	109.0999985
363.222	100.1800003
363.812	106
364.402	101.1999969
364.991	110.5199966
365.581	102.8600006
366.171	108.6999969
366.760	110.9599991
367.350	106
367.940	111.5199966
368.529	111.4000015
369.119	114.1399994
369.708	107.1399994
370.298	104.2399979
370.887	96.90000153
371.476	108.7799988
372.066	109.3600006
372.655	100.8000031
373.244	102.5599976
373.834	112.2399979
374.423	108.9400024
375.012	110.6200027
375.601	102.1200027
376.190	102.8399963
376.779	105.6600037
377.368	103.7799988
377.957	112.7600021
378.546	88.5
379.135	104.1999969
379.724	108.8799973
380.313	108
380.902	107.8199997
381.491	117.7799988
382.080	105.0599976
382.669	105.1200027
383.257	106.5999985
383.846	110.7399979
384.435	99.87999725
385.023	105.3000031
385.612	119.6200027
386.201	103.4800034
386.789	113.6800003
387.378	106.3199997
387.966	111.2200012
388.555	105.6999969
389.143	101.0999985
389.732	111.3000031
390.320	114.9400024
390.908	101.8600006
391.497	96.91999817
392.085	104.7200012
392.673	100.5999985
393.261	107.0800018
393.849	111.7399979
394.438	110.4800034
395.026	111.8199997
395.614	106.2799988
396.202	100.6200027
396.790	109.6999969
397.378	105.1600037
397.966	98.04000092
398.554	106.6399994
399.142	108.0999985
399.729	108.9800034
400.317	102.9199982
400.905	108.4599991
401.493	113.7600021
402.080	115.5
402.668	99.77999878
403.256	109.0400009
403.843	98.98000336
404.431	109.7399979
405.019	96.83999634
405.606	102.8600006
406.194	105.2200012
406.781	113.6999969
407.368	99.69999695
407.956	102.0599976
408.543	102.1999969
409.131	112.9000015
409.718	106.0999985
410.305	110.1999969
410.892	100.4400024
411.479	116.4199982
412.067	115.0800018
412.654	121.5400009
413.241	103.0599976
413.828	112.4000015
414.415	109.3600006
415.002	114.1800003
415.589	122.6200027
416.176	120.9199982
416.763	113.9400024
417.350	115.2399979
417.936	119.2600021
418.523	120.6399994
419.110	120.7799988
419.697	136.1399994
420.283	121.5
420.870	130.7599945
421.457	128.8399963
422.043	129.2400055
422.630	150.3399963
