Talasna duzina_Zuta [nm]	 Intenzitet svetlosti_Zuta [cd]
703.261	174.8999939
703.828	185.0599976
704.396	193.6399994
704.963	173.2200012
705.530	176.6799927
706.097	162.3600006
706.664	168.4600067
707.232	172.1399994
707.799	174.5800018
708.365	167.3600006
708.932	170.9400024
709.499	164.3600006
710.066	165.3600006
710.633	170.0800018
711.200	163.1000061
711.766	167
712.333	166.4600067
712.900	159.6000061
713.466	154.3999939
714.033	150.3800049
714.599	156.4799957
715.166	149.1199951
715.732	154.9799957
716.298	152.4600067
716.865	141.6199951
717.431	140.2200012
717.997	159.7599945
718.563	144.6199951
719.129	148.6999969
719.695	145.0399933
720.261	139.4799957
720.827	144.1999969
721.393	128.8600006
721.959	132.1999969
722.525	126.6600037
723.091	118.8399963
723.656	126.9599991
724.222	117.7399979
724.788	125.2399979
725.353	134.6799927
725.919	126.3000031
726.484	120.9800034
727.050	130.7799988
727.615	117.6200027
728.181	115.4199982
728.746	121.4000015
729.311	118.3600006
729.876	114.5
730.442	119.9599991
731.007	106.0199966
731.572	115.7399979
732.137	110.9400024
732.702	118.1999969
733.267	119
733.832	99.63999939
734.397	117.8600006
734.961	111.8399963
735.526	111.3600006
736.091	108.1800003
736.655	111.9400024
737.220	105.6999969
737.785	111.0999985
738.349	100.2200012
738.914	97.91999817
739.478	114.9599991
740.042	105.6999969
740.607	102.4599991
741.171	105.3600006
741.735	95.87999725
742.299	88.18000031
742.864	102.5
743.428	97.16000366
743.992	81.22000122
744.556	83.23999786
745.120	104.1999969
745.684	85.83999634
746.248	69.19999695
746.811	78.51999664
747.375	75.77999878
747.939	84.98000336
748.503	68.45999908
749.066	74.55999756
749.630	70.48000336
750.193	69.37999725
750.757	69.98000336
751.320	60.11999893
751.884	52.95999908
752.447	68.77999878
753.010	62
753.573	52.38000107
754.137	51.04000092
754.700	51.06000137
755.263	59.91999817
755.826	50.02000046
756.389	51.97999954
756.952	48.56000137
757.515	56.45999908
758.078	45.24000168
758.641	51.13999939
759.203	35.93999863
759.766	51.91999817
760.329	36.15999985
760.891	44.11999893
761.454	37.27999878
762.016	49.72000122
762.579	51.77999878
763.141	40.68000031
763.704	36.61999893
764.266	42.43999863
764.828	38.65999985
765.391	48.18000031
765.953	33.63999939
766.515	42.91999817
767.077	37.88000107
767.639	35.20000076
768.201	38.95999908
768.763	35.45999908
769.325	41.54000092
769.887	39.06000137
770.449	41.52000046
771.010	36.63999939
771.572	32.5
772.134	36.86000061
772.695	25.68000031
773.257	32
773.818	40.34000015
774.380	37.77999878
774.941	31.15999985
775.503	27.78000069
776.064	44.15999985
776.625	34.88000107
777.187	31.04000092
777.748	29.02000046
778.309	32.29999924
778.870	28.60000038
779.431	25.60000038
779.992	39.61999893
780.553	34.61999893
781.114	20.28000069
781.675	36.88000107
782.235	24.79999924
782.796	27.47999954
783.357	37.91999817
783.918	35.74000168
784.478	34.59999847
785.039	31.81999969
785.599	34.11999893
786.160	34.86000061
786.720	45.43999863
787.280	27.86000061
787.841	23.21999931
788.401	40.88000107
788.961	31.57999992
789.521	28.44000053
790.081	27.36000061
790.641	34.88000107
791.201	28.97999954
791.761	23.31999969
792.321	42.65999985
792.881	26.20000076
793.441	31.05999947
794.001	28.23999977
794.560	26.15999985
795.120	24.18000031
795.680	29.05999947
796.239	22.31999969
796.799	23.26000023
797.358	18.60000038
797.918	19.36000061
798.477	22.71999931
799.036	31.68000031
799.596	26.92000008
800.155	20.73999977
800.714	34.41999817
801.273	31.86000061
801.832	22.87999916
802.391	12.42000008
802.950	33.04000092
803.509	29.76000023
804.068	30.21999931
804.627	27.07999992
805.186	19.60000038
805.744	33.36000061
806.303	26.07999992
806.862	22.78000069
807.420	22.5
807.979	28.63999939
808.537	35.25999832
809.096	23.29999924
809.654	33.52000046
810.212	22.45999908
810.771	21.71999931
811.329	27.34000015
811.887	15.06000042
812.445	28.20000076
813.003	13.23999977
813.561	29.84000015
814.119	25.52000046
814.677	25.73999977
815.235	17.23999977
815.793	20.86000061
816.351	18.86000061
816.908	19.21999931
817.466	24.54000092
818.024	16.23999977
818.581	29.54000092
819.139	28.07999992
819.696	11.15999985
820.253	20.45999908
820.811	29.70000076
821.368	31.02000046
821.925	29.45999908
822.483	29.13999939
823.040	22.95999908
823.597	18.63999939
824.154	30.37999916
824.711	33.45999908
825.268	30.95999908
825.825	35.20000076
826.382	26.70000076
826.939	25.28000069
827.495	39.18000031
828.052	16.28000069
828.609	24.37999916
829.165	20.79999924
829.722	33.5
830.278	15.35999966
830.835	27.13999939
831.391	28.44000053
831.948	14.34000015
832.504	23.78000069
833.060	32.79999924
833.616	26.36000061
834.172	23.10000038
834.729	22.81999969
835.285	18.71999931
835.841	21.84000015
836.397	14.38000011
836.952	28.39999962
837.508	32.29999924
838.064	23.92000008
838.620	29.42000008
839.176	13.38000011
839.731	37.20000076
840.287	30.55999947
840.842	37.08000183
841.398	37.72000122
841.953	28.23999977
842.509	22.76000023
843.064	30.20000076
843.619	31.55999947
844.174	23.52000046
844.730	16.34000015
845.285	32.22000122
845.840	27.28000069
846.395	28.37999916
846.950	27.39999962
847.505	25.73999977
848.060	32.47999954
848.614	19.57999992
849.169	29.05999947
849.724	27.71999931
850.278	28.15999985
850.833	38
851.388	18.37999916
851.942	28.89999962
852.497	27.04000092
853.051	19.15999985
853.605	14.06000042
854.160	30.21999931
854.714	21.10000038
855.268	24.70000076
855.822	25.54000092
856.376	20.57999992
856.930	24.23999977
857.484	19.63999939
858.038	31.97999954
858.592	31.42000008
859.146	8.840000153
859.700	31.04000092
860.253	22.36000061
860.807	10.52000046
861.361	26.73999977
861.914	32.65999985
862.468	21.04000092
863.021	22.12000084
863.575	24.15999985
864.128	13.60000038
864.681	34.09999847
865.235	16.55999947
865.788	19.86000061
866.341	22.71999931
866.894	22.39999962
867.447	22.42000008
868.000	21.37999916
868.553	25.57999992
869.106	21.84000015
869.659	22.07999992
870.211	27.45999908
870.764	13.96000004
871.317	25.73999977
871.870	27.28000069
872.422	22.84000015
872.975	23.29999924
873.527	20.92000008
874.079	26.63999939
874.632	23.73999977
875.184	34.88000107
875.736	20.12000084
876.289	24.37999916
876.841	22.68000031
877.393	24.13999939
877.945	29.04000092
878.497	15.72000027
879.049	17.02000046
879.601	17.62000084
880.152	9.079999924
880.704	21.84000015
881.256	18.63999939
881.808	29.52000046
882.359	15.57999992
882.911	19.97999954
883.462	23.52000046
884.014	31.63999939
884.565	19.42000008
885.117	7.260000229
885.668	24.70000076
886.219	22.89999962
886.770	12.65999985
887.321	8.93999958
887.872	8.420000076
888.424	20.86000061
888.974	11.5
889.525	22.15999985
890.076	23.36000061
890.627	14.65999985
891.178	19.29999924
891.729	24
892.279	19.18000031
892.830	20.71999931
893.380	19.15999985
893.931	23.62000084
894.481	27.87999916
895.032	24.71999931
895.582	22.21999931
896.132	16.92000008
896.682	20.57999992
897.233	15.92000008
897.783	17.55999947
898.333	18.81999969
898.883	17.81999969
899.433	19.21999931
899.983	13.81999969
900.533	5.380000114
901.082	17.65999985
901.632	22.87999916
902.182	24.47999954
902.731	18.97999954
903.281	25.28000069
903.831	12.14000034
904.380	19.05999947
904.929	13.35999966
905.479	15.14000034
906.028	18.65999985
906.577	29.21999931
907.127	17.73999977
907.676	14.89999962
908.225	27.10000038
908.774	14.96000004
909.323	20.15999985
909.872	20.18000031
910.421	14.34000015
910.969	13.76000023
911.518	12.27999973
912.067	20.89999962
912.616	1.779999971
913.164	8.819999695
913.713	6.239999771
914.261	17.87999916
914.810	17.81999969
915.358	26.05999947
915.906	21.04000092
916.455	19.94000053
917.003	17.97999954
917.551	8.819999695
918.099	10.14000034
918.647	17.76000023
919.195	14.93999958
919.743	13.81999969
920.291	16.65999985
920.839	22.84000015
921.387	13.03999996
921.934	16.5
922.482	15.76000023
923.030	13.46000004
923.577	8.800000191
924.125	24.37999916
924.672	11.56000042
925.219	14.76000023
925.767	22.07999992
926.314	10.64000034
926.861	8.93999958
927.409	15.52000046
927.956	15.65999985
928.503	13.85999966
929.050	11.06000042
929.597	11.68000031
930.143	10.69999981
930.690	7.760000229
931.237	13.06000042
931.784	6.579999924
932.331	14.56000042
932.877	13.23999977
933.424	8.720000267
933.970	10.69999981
934.517	10.97999954
935.063	5.800000191
935.609	6.880000114
936.156	10.23999977
936.702	8.399999619
937.248	9.140000343
937.794	10.15999985
938.340	13.69999981
938.886	6.559999943
939.432	10.69999981
939.978	11.03999996
940.524	12.5
941.070	9.640000343
941.616	11.68000031
942.161	10.42000008
942.707	10.68000031
943.252	7.159999847
943.798	0.980000019
944.343	4.21999979
944.889	8.199999809
945.434	5.440000057
945.979	9.399999619
946.525	11.88000011
947.070	0.540000021
947.615	10.96000004
948.160	10.47999954
948.705	-0.74000001
949.250	6.559999943
949.795	-5.980000019
950.340	18.95999908
950.884	-3.079999924
951.429	7.599999905
951.974	7.679999828
952.518	10.43999958
953.063	-3.079999924
953.607	4.21999979
954.152	11.10000038
954.696	1.980000019
955.241	2.059999943
955.785	8.859999657
956.329	12.03999996
956.873	3.539999962
957.417	-0.920000017
957.961	7.920000076
958.505	5.579999924
959.049	11.60000038
959.593	6.340000153
960.137	1.899999976
960.681	10.02000046
961.224	6.940000057
961.768	6.800000191
962.312	7
962.855	-0.219999999
963.399	-3.519999981
963.942	2.980000019
964.486	12.89999962
965.029	4.940000057
965.572	7.159999847
966.115	10.56000042
966.658	3.720000029
967.202	5.019999981
967.745	-7.699999809
968.288	4.28000021
968.830	-0.379999995
969.373	15.92000008
969.916	2.380000114
970.459	-0.300000012
971.002	-1.460000038
971.544	-1.200000048
972.087	1.139999986
972.629	-1.399999976
973.172	1.139999986
973.714	-0.800000012
974.256	3.599999905
974.799	4.340000153
975.341	1.340000033
