Talasna duzina_Plava [nm]	 Intenzitet svetlosti_Plava [cd]
543.289	195.0800018
543.868	207
544.447	197.8200073
545.026	182.6399994
545.605	184.3200073
546.184	182
546.763	172.6199951
547.342	178.6600037
547.921	167.0399933
548.499	173.1199951
549.078	155.8600006
549.657	171.1600037
550.235	166.0399933
550.814	159
551.393	153.3200073
551.971	150.1600037
552.550	155.6399994
553.128	147.5399933
553.706	147.3600006
554.285	150.6199951
554.863	146.3200073
555.441	142.3200073
556.020	140.6600037
556.598	148.9199982
557.176	135.6000061
557.754	137.0399933
558.332	134.8999939
558.910	127.0199966
559.488	123
560.066	131.4199982
560.644	119.5
561.222	126.5800018
561.800	116.7799988
562.378	110.4000015
562.955	119.1399994
563.533	116.1399994
564.111	120.5800018
564.688	111.5599976
565.266	121.0999985
565.844	110.0199966
566.421	124.5
566.999	103.4199982
567.576	108.9199982
568.154	120.8799973
568.731	106.6200027
569.308	113.3600006
569.886	99.5
570.463	95.33999634
571.040	113
571.617	108.3399963
572.194	102.5800018
572.771	113.8399963
573.349	97.09999847
573.926	99.54000092
574.503	109.0999985
575.079	100.3399963
575.656	100.3000031
576.233	102.9199982
576.810	105.9599991
577.387	94.62000275
577.964	91.22000122
578.540	91.91999817
579.117	96.04000092
579.693	91.36000061
580.270	94.83999634
580.847	101.3000031
581.423	93.26000214
582.000	84.44000244
582.576	96.68000031
583.152	85.95999908
583.729	84.77999878
584.305	84.12000275
584.881	93.37999725
585.457	86.36000061
586.034	86.09999847
586.610	87.36000061
587.186	70.76000214
587.762	73
588.338	67.22000122
588.914	78.41999817
589.490	76.19999695
590.066	83.55999756
590.641	78.80000305
591.217	83.16000366
591.793	64.95999908
592.369	68.5
592.945	82.86000061
593.520	78.54000092
594.096	57.15999985
594.671	73.59999847
595.247	57.52000046
595.822	60.90000153
596.398	59.75999832
596.973	68.23999786
597.549	65.83999634
598.124	80.90000153
598.699	70.68000031
599.274	61.58000183
599.850	65.5
600.425	59.77999878
601.000	56.27999878
601.575	54.5
602.150	55.18000031
602.725	57.5
603.300	60.52000046
603.875	60.72000122
604.450	49.86000061
605.024	54.13999939
605.599	45.52000046
606.174	47.54000092
606.749	54.08000183
607.323	48.09999847
607.898	53.27999878
608.473	49.86000061
609.047	37.06000137
609.622	49.79999924
610.196	40.43999863
610.771	41.61999893
611.345	48.77999878
611.919	45.18000031
612.493	41.06000137
613.068	45.13999939
613.642	24.63999939
614.216	32.31999969
614.790	35.54000092
615.364	32.81999969
615.938	35.40000153
616.512	38.18000031
617.086	32.97999954
617.660	32.77999878
618.234	35.54000092
618.808	28.15999985
619.382	17.52000046
619.955	28.70000076
620.529	29.44000053
621.103	26.02000046
621.676	38.74000168
622.250	32.52000046
622.824	38.59999847
623.397	31.44000053
623.971	29.39999962
624.544	22.81999969
625.117	26.70000076
625.691	39.20000076
626.264	23.87999916
626.837	30.21999931
627.410	23.21999931
627.984	32.18000031
628.557	24.57999992
629.130	24.04000092
629.703	17.18000031
630.276	23.86000061
630.849	19.97999954
631.422	33.54000092
631.994	21.76000023
632.567	11.88000011
633.140	23.97999954
633.713	25.02000046
634.285	23.81999969
634.858	15.64000034
635.431	13.47999954
636.003	17.89999962
636.576	19.78000069
637.148	12.89999962
637.721	5.360000134
638.293	13.64000034
638.865	20.63999939
639.438	18.52000046
640.010	24.68000031
640.582	11.53999996
641.154	8.020000458
641.727	18.13999939
642.299	7.860000134
642.871	14.80000019
643.443	11.92000008
644.015	25.92000008
644.587	9.680000305
645.159	15.02000046
645.730	10.61999989
646.302	13.57999992
646.874	17.84000015
647.446	-0.579999983
648.017	10.52000046
648.589	12.07999992
649.161	8.520000458
649.732	8.539999962
650.304	14.92000008
650.875	21.42000008
651.446	5.440000057
652.018	12.11999989
652.589	13.38000011
653.160	5.940000057
653.732	12.27999973
654.303	3.059999943
654.874	3.380000114
655.445	16.89999962
656.016	5.519999981
656.587	4.139999866
657.158	2.180000067
657.729	6.539999962
658.300	2.799999952
658.871	11.30000019
659.442	5.480000019
660.012	4.400000095
660.583	0.319999993
661.154	2.359999895
661.724	7.800000191
662.295	5.139999866
662.866	6.380000114
663.436	6.21999979
664.007	6.28000021
664.577	-8.880000114
665.147	12.38000011
665.718	5.659999847
666.288	1.74000001
666.858	4.159999847
667.428	-2.5
667.999	-10.38000011
668.569	2.559999943
669.139	12.60000038
669.709	-1.299999952
670.279	-5.78000021
670.849	5.760000229
671.418	4.599999905
671.988	3.039999962
672.558	-4.039999962
673.128	0.439999998
673.698	-6.28000021
674.267	-2.220000029
674.837	12.89999962
675.406	1
675.976	-6.860000134
676.545	-3.640000105
677.115	2.420000076
677.684	-0.340000004
678.254	-1.25999999
678.823	1.360000014
679.392	1.460000038
679.961	-1.019999981
680.531	-1.960000038
681.100	-4.900000095
681.669	1.340000033
682.238	-5.260000229
682.807	-3.579999924
683.376	-1.019999981
683.945	3.619999886
684.514	4.119999886
685.082	-6.320000172
685.651	-3.980000019
686.220	-2.079999924
686.789	-1.600000024
687.357	-3.660000086
687.926	-8.93999958
688.494	-0.920000017
689.063	-7.28000021
689.631	-3.25999999
690.200	-2.25999999
690.768	-3.420000076
691.337	-11.80000019
691.905	0.920000017
692.473	-15.77999973
693.041	1.559999943
693.609	-11.14000034
694.178	-1.75999999
694.746	1.879999995
695.314	-6.639999866
695.882	2.220000029
696.450	-3.119999886
697.017	-6.440000057
697.585	-5.300000191
698.153	-13.26000023
698.721	-10.96000004
699.288	-6.940000057
699.856	-0.400000006
700.424	-1.200000048
700.991	-3.799999952
701.559	-8.399999619
702.126	5.039999962
702.694	4.440000057
703.261	4.340000153
703.828	-3.480000019
704.396	-3.059999943
704.963	-11.22000027
705.530	-4.760000229
706.097	-3.720000029
706.664	-6.860000134
707.232	-3.380000114
707.799	-5.300000191
708.365	-14.27999973
708.932	-7.639999866
709.499	-8.420000076
710.066	-2.880000114
710.633	-0.439999998
711.200	-8.319999695
711.766	-7.420000076
712.333	-13.26000023
712.900	6.699999809
713.466	-5.460000038
714.033	-11.5
714.599	-7.440000057
715.166	-16.89999962
715.732	-12.02000046
716.298	-12.57999992
716.865	-7.420000076
717.431	-15.26000023
717.997	2.319999933
718.563	-8.960000038
719.129	-11.39999962
719.695	-3.319999933
720.261	-5.579999924
720.827	-8.56000042
721.393	1.5
721.959	-14.38000011
722.525	-10.80000019
723.091	-7.179999828
723.656	-17.05999947
724.222	-23.44000053
724.788	-6.820000172
725.353	-4.559999943
725.919	-16.28000069
726.484	-14.02000046
727.050	-2.700000048
727.615	-14.65999985
728.181	-10.23999977
728.746	-15.27999973
729.311	-12.56000042
729.876	-14.81999969
730.442	-2.059999943
731.007	-11.60000038
731.572	-2.539999962
732.137	-1.74000001
732.702	-7.059999943
733.267	-5.420000076
733.832	-14.89999962
734.397	-11.06000042
734.961	-3.359999895
735.526	-5.260000229
736.091	-9.720000267
736.655	-10.14000034
737.220	-6.519999981
737.785	0.119999997
738.349	-18.68000031
738.914	-9.899999619
739.478	-9.579999924
740.042	-10.43999958
740.607	-15.61999989
741.171	-2.880000114
741.735	-22.21999931
742.299	-23.28000069
742.864	-14.85999966
743.428	-4.300000191
743.992	-21.07999992
744.556	-9.93999958
745.120	-12.61999989
745.684	-11.81999969
746.248	-7.360000134
746.811	-17.86000061
747.375	-3.779999971
747.939	-17.65999985
748.503	-17.73999977
749.066	-11.47999954
749.630	-13.26000023
750.193	-17.21999931
750.757	-5.820000172
751.320	-8.880000114
751.884	-8.180000305
752.447	-10.53999996
753.010	-8.720000267
753.573	-21.79999924
754.137	-13.81999969
754.700	-10.60000038
755.263	-10.65999985
755.826	-17.81999969
756.389	-10.76000023
756.952	-7.539999962
757.515	-14.84000015
758.078	-7.840000153
758.641	-9.180000305
759.203	-10.06000042
759.766	-10.23999977
760.329	-18.28000069
760.891	-11.52000046
761.454	-11.47999954
762.016	-17.23999977
762.579	-22.54000092
763.141	-6.980000019
763.704	-11.56000042
764.266	-6.440000057
764.828	-12.34000015
765.391	-12
765.953	-16.23999977
766.515	-10.56000042
767.077	-12.81999969
767.639	-7.380000114
768.201	-11.42000008
768.763	-11.39999962
769.325	-19.26000023
769.887	-16.5
770.449	-11.53999996
771.010	-14
771.572	0.479999989
772.134	-12.07999992
772.695	-12.03999996
773.257	-6.900000095
773.818	-17.70000076
774.380	-8.399999619
774.941	-17.15999985
775.503	-21.13999939
776.064	-10.18000031
776.625	-15.93999958
777.187	-12.10000038
777.748	-19.68000031
778.309	-7.699999809
778.870	-5.21999979
779.431	-7.28000021
779.992	-22.05999947
780.553	5.880000114
781.114	-10.34000015
781.675	-4.099999905
782.235	-10.80000019
782.796	-16.47999954
783.357	6.420000076
783.918	-4.679999828
784.478	-6.139999866
785.039	5.940000057
785.599	-9.739999771
786.160	0.920000017
786.720	-6
787.280	-8.960000038
787.841	4.800000191
788.401	-13.35999966
788.961	-13.93999958
789.521	-0.779999971
790.081	-12.93999958
790.641	-12.65999985
791.201	-5.320000172
