Talasna duzina_Ljubicasta [nm]	 Intenzitet svetlosti_Ljubicasta [cd]
413.241	73.19999695
413.828	67.23999786
414.415	79.04000092
415.002	68.80000305
415.589	87.5
416.176	80.87999725
416.763	93.76000214
417.350	85.86000061
417.936	81.76000214
418.523	90.62000275
419.110	86.91999817
419.697	84
420.283	85.69999695
420.870	100.4400024
421.457	103.9599991
422.043	108.3199997
422.630	114.3799973
423.216	110.2799988
423.803	115.3399963
424.389	128.6999969
424.976	127.7200012
425.562	126.1800003
426.148	145.5800018
426.735	139.3800049
427.321	153.8200073
427.907	168.5
428.494	175.8800049
429.080	187.3800049
429.666	218.3800049
430.252	211.6600037
430.838	232.8600006
431.424	255.5599976
432.010	272.6000061
432.596	298.1799927
433.182	326.7799988
433.768	336.019989
434.354	394.4599915
434.940	425.519989
435.526	457.4400024
436.111	484.2200012
436.697	558.4799805
437.283	589.2600098
437.869	656.1400146
438.454	706.3800049
439.040	787.5800171
439.625	863.7199707
440.211	934.8200073
440.796	1052.5
441.382	1148.040039
441.967	1218.099976
442.553	1359.339966
443.138	1498.719971
443.723	1616.339966
444.309	1793.47998
444.894	1953.23999
445.479	2169.820068
446.064	2366.47998
446.650	2649.76001
447.235	2821.100098
447.820	3107.040039
448.405	3364.679932
448.990	3687.179932
449.575	4075.179932
450.160	4469
450.745	4933.580078
451.330	5365.560059
451.915	5924.100098
452.499	6453.879883
453.084	7163.5
453.669	7825.939941
454.254	8603.379883
454.838	9462.900391
455.423	10504.54004
456.008	11480.62012
456.592	12647.21973
457.177	13829.83984
457.761	15037.66016
458.346	16648.7793
458.930	17912.74023
459.514	19654.85938
460.099	21070.53906
460.683	22981.41992
461.267	24701.66016
461.852	26425.01953
462.436	27989.32031
463.020	29178.90039
463.604	30896.09961
464.188	32270.67969
464.772	33215.03906
465.356	33790.96094
465.940	34648.23828
466.524	35021.14063
467.108	35265.71875
467.692	35376.66016
468.276	35140.66016
468.860	34483.37891
469.444	33773.17969
470.028	32923.28125
470.611	31785.46094
471.195	30770.93945
471.779	29495.16016
472.362	28420.61914
472.946	26774.17969
473.529	25383.2207
474.113	24080.5
474.696	22728.17969
475.280	21456.08008
475.863	20331.38086
476.447	19210.25977
477.030	18161.61914
477.613	17285.59961
478.197	16394.88086
478.780	15435.5
479.363	14772.48047
479.946	14056.62012
480.529	13439.55957
481.112	12843.54004
481.695	12216
482.278	11667.7002
482.861	11025.36035
483.444	10536.01953
484.027	10009.5
484.610	9487.5
485.193	8986.019531
485.776	8505.219727
486.358	8015.120117
486.941	7573.779785
487.524	7058.859863
488.106	6668.080078
488.689	6191.259766
489.272	5792.740234
489.854	5414.640137
490.437	4992.759766
491.019	4680.959961
491.602	4324.339844
492.184	4055.26001
492.766	3772.560059
493.349	3564.360107
493.931	3326.040039
494.513	3114.080078
495.095	2920.560059
495.678	2710.120117
496.260	2571.320068
496.842	2421.97998
497.424	2263.560059
498.006	2153.300049
498.588	2039.02002
499.170	1958.280029
499.752	1832.97998
500.334	1732.219971
500.916	1650.420044
501.497	1573.660034
502.079	1473.579956
502.661	1418.459961
503.243	1351.560059
503.824	1258.400024
504.406	1217.599976
504.987	1129.400024
505.569	1099.780029
506.151	1020
506.732	984.6799927
507.313	906.539978
507.895	870.460022
508.476	827.2999878
509.058	780.4199829
509.639	730.5200195
510.220	683.7399902
510.801	658.960022
511.382	628.3800049
511.964	591.3800049
512.545	567.8200073
513.126	544.2999878
513.707	505.1600037
514.288	495.7799988
514.869	473.2999878
515.450	449.7399902
516.031	441.4400024
516.611	397.1600037
517.192	402.7600098
517.773	372.980011
518.354	378.3200073
518.934	345.1400146
519.515	352.1000061
520.096	337.2999878
520.676	318.9599915
521.257	313.3999939
521.837	309.1000061
522.418	307.1199951
522.998	280.3399963
523.579	276.7600098
524.159	290.3599854
524.739	272.6600037
525.320	265.3599854
525.900	263.2200012
526.480	243.4799957
527.060	250.5
527.640	234.1399994
528.220	221.2400055
528.800	232.0399933
529.380	223.1600037
529.960	212.0800018
530.540	203
531.120	201.3399963
531.700	211.5599976
532.280	198.5800018
532.860	195.6399994
533.440	186.1999969
534.019	177.1600037
534.599	186.0200043
535.179	164.2599945
535.758	168.5200043
536.338	172.8000031
536.917	173.1399994
537.497	162.9400024
538.076	155.4199982
538.656	154.3999939
539.235	172
539.814	150.2799988
540.393	161.5
540.973	158.4199982
541.552	154.7200012
542.131	144.3200073
542.710	143.1799927
543.289	152.2200012
543.868	142.7200012
544.447	148.5399933
545.026	138.8800049
545.605	121.9599991
546.184	137.7400055
546.763	140.9199982
547.342	141.4400024
547.921	139.7599945
548.499	150.9400024
549.078	134.7599945
549.657	136.6600037
550.235	139.0800018
550.814	140.8399963
551.393	137.5599976
551.971	136.3200073
552.550	131.1999969
553.128	132.6399994
553.706	134.3600006
554.285	143.0200043
554.863	127.5999985
555.441	128.2200012
556.020	132.4799957
556.598	146.3800049
557.176	136.5399933
557.754	136.8399963
558.332	144.4199982
558.910	130.7400055
559.488	140.7400055
560.066	130.1799927
560.644	129.5599976
561.222	150.3200073
561.800	131.5
562.378	149.1999969
562.955	144.8800049
563.533	144.3399963
564.111	157.9600067
564.688	150.9400024
565.266	155.1000061
565.844	164.6199951
566.421	168.0599976
566.999	170.5599976
567.576	182.1799927
568.154	179.9600067
568.731	182.9199982
569.308	185.3600006
569.886	183.5800018
570.463	204.5800018
571.040	194.5800018
571.617	217.9400024
572.194	217.6399994
572.771	229.8200073
573.349	233
573.926	253.3600006
574.503	254.4600067
575.079	266.9400024
575.656	282.9400024
576.233	299.4599915
576.810	295.8599854
577.387	335.7999878
577.964	345.5400085
578.540	351.6000061
579.117	377.8599854
579.693	404.3200073
580.270	425.8999939
580.847	452.2799988
581.423	474.7799988
582.000	506.8399963
582.576	534.5999756
583.152	577.8400269
583.729	617.8400269
584.305	658.9400024
584.881	679.6799927
585.457	739.1400146
586.034	778
586.610	833.9799805
587.186	890.2600098
587.762	971.5200195
588.338	1017.23999
588.914	1107.060059
589.490	1199.819946
590.066	1286
590.641	1340.420044
591.217	1463.280029
591.793	1532.880005
592.369	1623.439941
592.945	1752.359985
593.520	1873.23999
594.096	2022.880005
594.671	2187.159912
595.247	2369.939941
595.822	2532.23999
596.398	2699.73999
596.973	2892.879883
597.549	3040.899902
598.124	3198.52002
598.699	3407.840088
599.274	3648.76001
599.850	3927.580078
600.425	4267.700195
601.000	4665.879883
601.575	5114.540039
602.150	5477.439941
602.725	5859.220215
603.300	6242.459961
603.875	6629.359863
604.450	7034.060059
605.024	7625.399902
605.599	8250.339844
606.174	8930.339844
606.749	9789.339844
607.323	10787.21973
607.898	11887.91992
608.473	12906.05957
609.047	13956.08008
609.622	15034.40039
610.196	16052.16016
610.771	17077.51953
611.345	18181.58008
611.919	19497.24023
612.493	20773.35938
613.068	22468.51953
613.642	24248.33984
614.216	26006.61914
614.790	27827.80078
615.364	29545.83984
615.938	30963.17969
616.512	32126.58008
617.086	33407.78125
617.660	34541.80078
618.234	35626.55859
618.808	37174.98047
619.382	38873.67969
619.955	40790.46094
620.529	43776.16016
621.103	48299.33984
621.676	51621.28125
622.250	56015.26172
622.824	57987.83984
623.397	61165.89844
623.971	62584.71875
624.544	63862.44141
625.117	64170.55859
625.691	64400.46094
626.264	64499.23828
626.837	64487.89844
627.410	64246.44141
627.984	63898.62109
628.557	62325.85938
629.130	60050.64063
629.703	56906.28125
630.276	53351.44141
630.849	49393.55859
631.422	45405.46094
